merged_id,game_title,game_id,vgsales_rank,platform,genre,publisher,release_year,rating,global_sales,plays,wishlist,merge_date
728,Rock Band 2,NULL,1266,ps3,misc,mtv games,2008,4,1.5,2000,29000,04-10-2025
729,Rule of Rose,NULL,15135,ps2,action,505 games,2006,3.8,0.02,727000,770000,04-10-2025
730,S.T.A.L.K.E.R.: Shadow of Chernobyl,NULL,12624,pc,shooter,thq,2007,3.9,0.06,2500,583000,04-10-2025
731,Saints Row 2,NULL,1061,ps3,action,thq,2008,3.7,1.69,3600,191000,04-10-2025
732,Saints Row 2,NULL,462,x360,action,thq,2008,3.7,3.03,3600,191000,04-10-2025
733,Saints Row IV,NULL,1519,ps3,action,deep silver,2013,3.1,1.3,7200,176000,04-10-2025
734,Saints Row IV,NULL,1062,x360,action,deep silver,2013,3.1,1.69,7200,176000,04-10-2025
735,Saints Row IV,NULL,7874,pc,action,deep silver,2013,3.1,0.19,7200,176000,04-10-2025
736,Saints Row: Gat Out of Hell,NULL,13287,ps4,action,deep silver,2015,2.4,0.05,2000,75000,04-10-2025
737,Saints Row: The Third,NULL,544,x360,action,thq,2011,3.4,2.77,9400,210000,04-10-2025
738,Saints Row: The Third,NULL,5059,pc,action,thq,2011,3.4,0.38,9400,210000,04-10-2025
739,Saints Row: The Third,NULL,617,ps3,action,thq,2011,3.4,2.49,9400,210000,04-10-2025
740,Scribblenauts,NULL,729,ds,puzzle,warner bros. interactive entertainment,2009,3.2,2.22,3200,80000,04-10-2025
741,Secret of Mana,NULL,950,snes,role-playing,squaresoft,1993,3.3,1.83,1900,511000,04-10-2025
742,Shadow of the Colossus,NULL,1786,ps2,action,sony computer entertainment,2005,4.4,1.14,10000,1700,04-10-2025
743,Shadow of the Colossus,NULL,1786,ps2,action,sony computer entertainment,2005,4.4,1.14,10000,1700,04-10-2025
744,Shadow of the Colossus,NULL,1786,ps2,action,sony computer entertainment,2005,4.4,1.14,10000,1700,04-10-2025
745,Shadow the Hedgehog,NULL,2103,gc,platform,sega,2005,2.4,0.99,5600,423000,04-10-2025
746,Shadow the Hedgehog,NULL,3339,ps2,platform,sega,2005,2.4,0.6,5600,423000,04-10-2025
747,Shadow the Hedgehog,NULL,8107,xb,platform,sega,2005,2.4,0.18,5600,423000,04-10-2025
748,Shadow the Hedgehog,NULL,2103,gc,platform,sega,2005,2.4,0.99,5600,423000,04-10-2025
749,Shadow the Hedgehog,NULL,3339,ps2,platform,sega,2005,2.4,0.6,5600,423000,04-10-2025
750,Shadow the Hedgehog,NULL,8107,xb,platform,sega,2005,2.4,0.18,5600,423000,04-10-2025
751,Shenmue,NULL,1711,dc,adventure,sega,1999,3.8,1.18,1600,494000,04-10-2025
752,Shin Megami Tensei IV,NULL,3506,3ds,role-playing,atlus,2013,4.1,0.57,4300,1100,04-10-2025
753,Shin Megami Tensei: Devil Summoner - Soul Hackers,NULL,5780,sat,role-playing,atlus,1997,3.8,0.31,1200,651000,04-10-2025
754,Shin Megami Tensei: Devil Survivor,NULL,6371,ds,role-playing,atlus,2009,3.9,0.27,1000,343000,04-10-2025
755,Shin Megami Tensei: Digital Devil Saga,NULL,9543,ps2,role-playing,ghostlight,2004,4.1,0.13,2000,916000,04-10-2025
756,Shin Megami Tensei: Nocturne,NULL,4984,ps2,role-playing,ghostlight,2003,4.2,0.38,4100,1300,04-10-2025
757,Shin Megami Tensei: Persona,NULL,7276,psp,role-playing,atlus,2009,2.9,0.22,2500,797000,04-10-2025
758,Sid Meier's Civilization V,NULL,1071,pc,strategy,take-two interactive,2010,3.9,1.69,5400,140000,04-10-2025
759,Silent Hill,NULL,1156,ps,action,konami digital entertainment,1999,4.1,1.6,6800,1600,04-10-2025
760,Silent Hill,NULL,1156,ps,action,konami digital entertainment,1999,4.1,1.6,6800,1600,04-10-2025
761,Silent Hill 2,NULL,1551,ps2,action,konami digital entertainment,2001,4.5,1.28,8600,2100,04-10-2025
762,Silent Hill 2,NULL,1551,ps2,action,konami digital entertainment,2001,4.5,1.28,8600,2100,04-10-2025
